name,score,review
역전우동0410 동작남성점,1,포장주문 했는데 집에 와서 확인하니 상품이 누락되어있어 연락하니 와서 찾아가라고 그거말고는 자기들은 아무대안 제시할수없다고 배째라는 식으로 말하네요  대.단.한 서비스네요
역전우동0410 동작남성점,1,1년전쯤인가 일하시는 이모님 한국분에서 중국분으로 바뀌셨는데 맛이 없어짐.. 전 차별하는 사람은 아닙니다.... 그냥 이모님들 특징을 설명할게 그것뿐......
역전우동0410 동작남성점,1,역전우동 수십곳을 다녀봤는데 여기가 제일 맛없어요..하필 집근처지점이라 더 화나네요
역전우동0410 동작남성점,1,오자마자 가위를 좌우로 휘저으면서 자리 옮기라고 하는건 아니죠…못 앉을 곳 앉았나요 바 형식 테이블에 앉은건데 사전고지도 없이 여기 못 앉게 하는데 자리 바꾸라고 가위로 휘젓는건 진짜 아닌거 같네요
역전우동0410 동작남성점,1,"맛없어요.,,. 배고파서 먹었다"
한강치킨수제전문점 본점,4,튀김옷 얇고 쫄깃함
태능솔밭갈비,1,중대생 접근 금지 갈비(국물만 있)탕 - 고기 50g~80g정도 될듯  덩어리 고기를 먹은 기억이 없음 집에서 밥에 닭가슴살 먹는게 더 맛있음
태능솔밭갈비,1,"가족식사하기 위해 방문함. 맛은 나름 나쁘지 않음. 다른 돼지갈비집가면 먹을 수 있는 평타의 맛. 맛은 그냥 그러면서 서비스가 최악이면 그땐 납득하기 어려움.  1) 젊은 사람 둘이 먼저 가서 예약했다고 말하니, 슥 한번 보더니 자리 안내를 안해줌. 한참 서성임.  2) 숯불, 고기를 내주기까지 시간이 한참걸림. 심지어 고기를 굽고 있는데도 상 세팅을 안해..."
태능솔밭갈비,4,주차장이 좁음
태능솔밭갈비,4,여느 갈비집처럼 갈비랑 목살이랑 섞어서 나오는데 갈비부분은 맛있고 목살은 맛없고 그렇죠 아무튼 양념 진해서 어린 입맛인 사람들은 다 좋아할듯 선짓국도 맛있고 양념게장도 맛있음 친절이야 뭐..이런 집들 중에 친절한집 있나 싶고 그래도 가끔씩 그냥 성향이 친절하신 분 계신데 그냥 그뿐..가게 자체가 응대메뉴얼이 잘 갖춰진 가게가 아님
태능솔밭갈비,4,제로페이 안됨 주차장 있음  세번 방문함. 네번째도 갈 의향 있음. 반찬으로 나오는 양념게장 두번째 방문까지는 냄새 안나더니 세번째엔 비린내가 확 올라오던.. 손님상에 내놨던걸 손 안댔다고 그대로 가져온것인가 아니면 보관을 잘못한것인가 2019.08.19  양념갈비 먹으러 또다녀옴 2020.04.11  
태능솔밭갈비,1,중대생 접근 금지 갈비(국물만 있)탕 - 고기 50g~80g정도 될듯  덩어리 고기를 먹은 기억이 없음 집에서 밥에 닭가슴살 먹는게 더 맛있음
