자치구,자치동,사업장명,경도,위도,리뷰주소
동작구,사당동,역전우동0410 &  빽다방 동작남성점,126.97141009382112,37.48350356711976,https://place.map.kakao.com/25116156
동작구,사당동,한강치킨(수제전문점),126.97840852043322,37.480072975008355,https://place.map.kakao.com/11515257
동작구,상도동,태능솔밭갈비,126.94593830010193,37.502913728212,https://place.map.kakao.com/11222981
동작구,사당동,면장의 밥상,126.97528583016675,37.4775728967654,https://place.map.kakao.com/1623686424
동작구,사당동,클로이스 칠하우스,126.96491611024089,37.48824724995271,https://place.map.kakao.com/505721130
동작구,신대방동,마선생 마제,126.9219073350228,37.491249459751515,https://place.map.kakao.com/912013255
동작구,흑석동,차이나만두집,126.95802572234483,37.5079709377311,https://place.map.kakao.com/1261955869
동작구,상도동,육회랑 연어랑,126.93524965389294,37.500191273308594,https://place.map.kakao.com/1790518490
동작구,사당동,인쌩맥주 이수역점,126.97774570977401,37.486260592250744,https://place.map.kakao.com/821915241
동작구,노량진동,모꼬지,126.93710436721277,37.51150168762654,https://place.map.kakao.com/15854978
동작구,상도동,갓포 탄,126.95487996997032,37.494626534135435,https://place.map.kakao.com/1571888333
동작구,사당동,스페이스,126.97792717388066,37.47846154188586,https://place.map.kakao.com/1706151611
동작구,대방동,알렉스플레이스,126.91976791051938,37.499389495744914,https://place.map.kakao.com/1300207626
동작구,신대방동,bhc치킨,126.91347683966868,37.496745643139846,https://place.map.kakao.com/26922118
동작구,상도동,파스타님,126.93102570298706,37.50198272689362,https://place.map.kakao.com/1765399453
동작구,상도동,고가네숯불구이통닭,126.93198061570794,37.50215433641945,https://place.map.kakao.com/16043925
동작구,대방동,왕비 마라탕,126.92944021784987,37.50899541391034,https://place.map.kakao.com/874360848
동작구,사당동,꼬멧 익스프레스,126.97861218372447,37.481260184232035,https://place.map.kakao.com/1308201686
동작구,신대방동,디스턴스,126.9081985861347,37.487348656226196,https://place.map.kakao.com/1149252372
동작구,노량진동,끄트머리,126.93394733059556,37.51462029079033,https://place.map.kakao.com/1200289670
동작구,대방동,피자애 대방점,126.92182175746925,37.50729467519184,https://place.map.kakao.com/756861565
동작구,상도동,장군이네 족발보쌈 Since1994,126.93381542102405,37.50251285072898,https://place.map.kakao.com/244391600
동작구,신대방동,수갈집,126.91760451910142,37.49739841551312,https://place.map.kakao.com/1469443689
동작구,상도동,제일주당,126.94622493968521,37.503467905246815,https://place.map.kakao.com/1870981099
동작구,상도동,포안베트남쌀국수,126.92634277253713,37.49901536447358,https://place.map.kakao.com/2055729736
동작구,사당동,더잘만든닭강정 본점,126.96515519874634,37.48523602018417,https://place.map.kakao.com/1941680963
동작구,상도동,우된장 장승배기점,126.93610471111857,37.504375410603096,https://place.map.kakao.com/334277252
동작구,사당동,호프광장,126.97809284637262,37.48789011272341,https://place.map.kakao.com/587590863
동작구,사당동,이수백반,126.97856864088683,37.488358765772915,https://place.map.kakao.com/1411218435
동작구,상도동,성대커피호프,126.92942742138058,37.500268072599255,https://place.map.kakao.com/1255693510
동작구,상도동,홈런호프치킨,126.94688405004163,37.50716798498472,https://place.map.kakao.com/21312735
동작구,상도동,숑숑돈까스 서울 숭실대점,126.95527878990602,37.494934042022656,https://place.map.kakao.com/1264456968
동작구,신대방동,상도고려왕족발보쌈,126.9249111689417,37.49897451616566,https://place.map.kakao.com/16083824
동작구,신대방동,상도고려왕족발보쌈,126.9249111689417,37.49897451616566,https://place.map.kakao.com/16083824
동작구,상도동,움프(Oomph),126.94964705424104,37.498053757838385,https://place.map.kakao.com/2053631472
동작구,상도동,대윤파닭,126.95381893597185,37.49415863539751,https://place.map.kakao.com/23479913
동작구,상도동,치킨마루 상도점,126.93097984832265,37.49835975430499,https://place.map.kakao.com/16880533
동작구,노량진동,여수수산,126.9374636560736,37.50918466696166,https://place.map.kakao.com/316323513
동작구,사당동,권참치,126.97765594957315,37.478560297150324,https://place.map.kakao.com/12101762
동작구,사당동,쩡곱도리탕,126.97771365777207,37.47866834993247,https://place.map.kakao.com/1687561300
동작구,상도동,홍어집,126.93638235668759,37.50380274977173,https://place.map.kakao.com/59931540
동작구,사당동,피유비,126.97141009382112,37.48350356711976,https://place.map.kakao.com/385180974
동작구,흑석동,고봉삼계탕 중앙대점,126.9599368304822,37.50759373772685,https://place.map.kakao.com/1915410994
동작구,흑석동,고깃집,126.96252520404975,37.50721804719139,https://place.map.kakao.com/1915410994
동작구,흑석동,재일,126.96134862793453,37.507719698858644,https://place.map.kakao.com/20949292
동작구,사당동,엠에프피,126.97532811333961,37.481375098920395,https://place.map.kakao.com/1815787152
동작구,대방동,성암축산정육점식당,126.92487072948654,37.498680139580436,https://place.map.kakao.com/15679395
동작구,사당동,등갈비애꼬치다(이수점),126.97811093747332,37.48651823855879,https://place.map.kakao.com/1069399080
동작구,사당동,복덕밥,126.97043819019143,37.480545374624924,https://place.map.kakao.com/477820956
동작구,상도동,한방바베큐,126.9407927938052,37.49899671245119,https://place.map.kakao.com/10042776
동작구,상도동,브라운필 상도힐스테이트점,126.94772145061351,37.49725733737563,https://place.map.kakao.com/2011893549
동작구,흑석동,999.9,126.95651267929331,37.50748591721977,https://place.map.kakao.com/71813533
동작구,대방동,본죽&비빔밥 보라매역점,126.91815624398475,37.49859065683818,https://place.map.kakao.com/16299150
동작구,상도동,행복푸드,126.92961403530866,37.4996196618593,https://place.map.kakao.com/698752949
동작구,사당동,사당모소리,126.97208120525707,37.4834541125974,https://place.map.kakao.com/1763896283
동작구,사당동,예니네,126.96571752773318,37.48562386387854,https://place.map.kakao.com/591256157
동작구,노량진동,핵밥 노량진점,126.94103203558822,37.51338650726087,https://place.map.kakao.com/1117202604
동작구,사당동,차짬,126.9755645250214,37.4844533996134,https://place.map.kakao.com/1188388875
동작구,노량진동,으스시,126.9376709758737,37.513331877627955,https://place.map.kakao.com/1150948472
동작구,사당동,한끼 마라탕,126.9775748840838,37.484432301094294,https://place.map.kakao.com/1457162699
동작구,상도동,역전할머니맥주 장승배기점,126.93338885160671,37.50293559354546,https://place.map.kakao.com/1078992848
동작구,상도동,파스토보이,126.92961403530866,37.4996196618593,https://place.map.kakao.com/1161127150
동작구,신대방동,동춘돌곱창,126.90598891186752,37.490127381949634,https://place.map.kakao.com/589706761
동작구,사당동,1988옛날통닭이수점,126.97885762580727,37.49081315577108,https://place.map.kakao.com/1462558334
동작구,사당동,시민 소머리국밥,126.9766513172183,37.48810361548112,https://place.map.kakao.com/1380826395
동작구,사당동,유정우함흥냉면,126.97740049022295,37.48859294615236,https://place.map.kakao.com/12045926
동작구,사당동,뽕잎사랑이수점,126.97811235295133,37.48662106373124,https://place.map.kakao.com/10431589
동작구,사당동,와구이닭,126.97709339448475,37.48811931179911,https://place.map.kakao.com/1169211743
동작구,상도동,버거앤프라이즈 상도점,126.94726747548219,37.500699839925005,https://place.map.kakao.com/333644334
동작구,상도동,빅토리아 가든,126.94862313088707,37.50720433079641,https://place.map.kakao.com/14704603
동작구,사당동,사당횟집,126.96544990744162,37.48574432405201,https://place.map.kakao.com/513928897
동작구,사당동,우화,126.975809595395,37.48448253928916,https://place.map.kakao.com/674497702
동작구,노량진동,차차커피코 노량진 1호점,126.94108473183134,37.51254124112105,https://place.map.kakao.com/305756870
동작구,상도동,태리로제떡볶이&닭강정 숭실대점,126.95002220478706,37.498382079152655,https://place.map.kakao.com/473004857
동작구,흑석동,봄참치,126.95929819629448,37.5066662276478,https://place.map.kakao.com/1228560108
동작구,대방동,알렉스 플레이스 수제버거,126.91976388081294,37.49947406439855,https://place.map.kakao.com/1300207626
동작구,사당동,오직고기 이수점,126.97750382291791,37.48566607878753,https://place.map.kakao.com/153367033
동작구,상도동,중대양곱창,126.94752741635993,37.5042376622145,https://place.map.kakao.com/12018530
동작구,신대방동,마라도아구찜,126.91724708403885,37.49723358116058,https://place.map.kakao.com/902846846
동작구,상도동,신방통통 낙지,126.93558088456632,37.50384468571781,https://place.map.kakao.com/1782541998
동작구,상도동,순정마차,126.93250168332635,37.503709230671525,https://place.map.kakao.com/1950483980
동작구,대방동,자담치킨 서울대방점,126.92265600728277,37.502710500231785,https://place.map.kakao.com/115579894
동작구,노량진동,떡슐랭,126.9417929671809,37.512709790377436,https://place.map.kakao.com/496215034
동작구,노량진동,압구정닭발,126.94212487997854,37.51154688813285,https://place.map.kakao.com/22024069
동작구,신대방동,힐링푸드,126.90655484107515,37.487588390313,https://place.map.kakao.com/883559358
동작구,흑석동,정가네,126.96109966011448,37.507758934488436,https://place.map.kakao.com/1307747820
동작구,상도동,달달,126.95512068773249,37.494955290150315,https://place.map.kakao.com/1012257045
동작구,상도동,미모,126.93396386144431,37.50376935387494,https://place.map.kakao.com/16875745
동작구,흑석동,스파이키,126.95681494866477,37.507785473371335,https://place.map.kakao.com/1902520901
동작구,사당동,호뎅바,126.9773278393236,37.47908846518572,https://place.map.kakao.com/135885867
동작구,신대방동,흥부가 반해 버리고 놀부가 기절한 닭강정,126.90945637152232,37.487926062557946,https://place.map.kakao.com/27403785
동작구,사당동,가마로강정,126.97722037225135,37.48760958311345,https://place.map.kakao.com/1162673331
동작구,사당동,남성포차,126.97194300873919,37.487219420198414,https://place.map.kakao.com/21531224
동작구,흑석동,피쉬앤그릴,126.95691987621419,37.50753107738375,https://place.map.kakao.com/8119881
동작구,흑석동,창꼬,126.95854432372874,37.50812020688369,https://place.map.kakao.com/846319436
동작구,흑석동,하노이별 중앙대점,126.95562986489608,37.50715533253169,https://place.map.kakao.com/8146461
동작구,대방동,태원,126.92914369610298,37.508421745174836,https://place.map.kakao.com/11256114
동작구,흑석동,띵똥와플중앙대점,126.95733673192626,37.50760931618554,https://place.map.kakao.com/2084286814
동작구,노량진동,신촌찌개집,126.94235315221579,37.513008623897406,https://place.map.kakao.com/27494812
동작구,흑석동,연어이야기,126.95851917460585,37.50878695561034,https://place.map.kakao.com/27315641
동작구,노량진동,포대포소금구이,126.93707096074301,37.50997826401721,https://place.map.kakao.com/12040054
동작구,사당동,참오리,126.97863705748084,37.48590143694727,https://place.map.kakao.com/15133218
동작구,노량진동,엄마손김밥,126.93292653033112,37.5127533779116,https://place.map.kakao.com/16764283
동작구,노량진동,장충족발,126.94123068289981,37.512207547341276,https://place.map.kakao.com/16706104
