,name,score,review,score_test
0,명동칼국수샤브샤브 강남대로점,1,설거지좀제대로해주세요칼국수그릇겉에국물마른자국이항상있네요,0
1,명동칼국수샤브샤브 강남대로점,4,맛있음구성좋고가격도합리적친절함,1
2,명동칼국수샤브샤브 강남대로점,5,가성비좋고죽이맛있어요칼국수는쏘쏘,1
3,명동칼국수샤브샤브 강남대로점,5,깔끔존맛이에요,1
5,세븐브릭스키친,1,너무불친절해서다시는가고싶지않아요,0
6,세븐브릭스키친,1,일하기싫고피곤한건알겠는데주문하는사람떡하니앞에두고욕하는건아니죠아제발혼잣말이라도손님이앞에있으면속으로욕마음껏하시길,0
7,세븐브릭스키친,1,매콤크림제육토마토스파게티시켰습니다안경쓰고머리조금짧으신분이바로아제육씨까지는들었습니다선불이라서돈은냈으니먹고가겠습니다,0
8,세븐브릭스키친,4,포테이토피자겁나맛있떠요크림리조또는묽어서개취는별로,0
9,세븐브릭스키친,5,맛있는데다가격도저렴해요,1
10,세븐브릭스키친,1,너무불친절해서다시는가고싶지않아요,0
11,세븐브릭스키친,1,일하기싫고피곤한건알겠는데주문하는사람떡하니앞에두고욕하는건아니죠아제발혼잣말이라도손님이앞에있으면속으로욕마음껏하시길,0
12,세븐브릭스키친,1,매콤크림제육토마토스파게티시켰습니다안경쓰고머리조금짧으신분이바로아제육씨까지는들었습니다선불이라서돈은냈으니먹고가겠습니다,0
13,세븐브릭스키친,4,포테이토피자겁나맛있떠요크림리조또는묽어서개취는별로,0
14,세븐브릭스키친,5,맛있는데다가격도저렴해요,1
15,세븐브릭스키친,5,사장님이너무친절하세요트러플감튀오지고지리고렛잇고,1
16,세븐브릭스키친,5,여윽시언제먹어도맛나네요가격대비훌륭,1
17,세븐브릭스키친,5,강남에서이정도가격에이정도맛내는곳많지않은데회사사람들이랑가서배부르고맛있게먹었어요분위기도좋고홀도넓어서회식으로가기에도좋을거같아요담에또방문할거에요,1
18,세븐브릭스키친,2,많은게아쉬운집양은많음,1
19,세븐브릭스키친,5,이가격에존맛인데저는직원도친절했어요케바케인가,1
20,세븐브릭스키친,2,위생직원음식맛실망,0
21,세븐브릭스키친,1,별하나도아까움맛없어도친절한집가서먹는다,0
22,세븐브릭스키친,1,음식이너무너무너무너무너무너무너무너무느려요점심시간에셋이서조리하는데홀도꽉찬것도아닌데분이상걸림조리시간진짜음식이너무너무너무느림,1
23,세븐브릭스키친,5,가성비왔다이다강남에서이가격에이런분위기이런맛없을듯최고집이멀지만다시또오고싶다맥주도다양하고싸고대박이다,1
25,세븐브릭스키친,2,맥주자체는괜찮음문제는직원들의위생관임셀프바앞에있는쓰레기통에쓰레기가꽉차서그걸누르는데셀프바위에있는손님들음식나가는우드플레이트로누르고는그걸쓰려고다시올려놓더라아니그장면을같이있던직원명이수다떨면서봤는데아무도뭐라하는이가없었음이장면직관하고는앞으로는음식은여기서먹지말고맥주만마시던지,0
26,세븐브릭스키친,1,직원들싸가지없음옆테이블도싸가지없다고욕하면서나감ㅋㅋㅋ,0
29,세븐브릭스키친,3,마르게리따피자알리오올리오버섯치즈파니니적당한맛피자는양이적고파니니가제일맛있다,1
30,골목집,5,목살껍데기일품,1
31,치킨뱅이 삼성점,1,불친절해요,0
32,마티스커피 본점,3,분위기좋은동네커피숍이라자주갔지만중년의여자주인분은마스크를잘안씁니다들어오면서눈마주치면썼다가다시내리고활보그리고작은부엌에서마스크없이음식을만들죠추워서이겠지만환기는안되고아늑한장소에하나가득앉은사람들이마스크벗고수다떠는게불안해서요즘안갑니다인테리어는고풍스럽고커피잔은유니크합니다,0
33,마티스커피 본점,5,커피집은이래야지밸런스좋은커피음료도진심인곳제대로된곳이라너무좋아요,1
34,마티스커피 본점,1,병에파는원액실망입니다병세척도제대로안하고그것도모르고먹은게화나네요웃으면서사기치는커피집같아서이젠안갑니다,0
35,마티스커피 본점,3,맛은좋으나서비스나친절은좀아쉽네요,1
37,마티스커피 본점,3,분위기좋은동네커피숍이라자주갔지만중년의여자주인분은마스크를잘안씁니다들어오면서눈마주치면썼다가다시내리고활보그리고작은부엌에서마스크없이음식을만들죠추워서이겠지만환기는안되고아늑한장소에하나가득앉은사람들이마스크벗고수다떠는게불안해서요즘안갑니다인테리어는고풍스럽고커피잔은유니크합니다,0
38,마티스커피 본점,5,커피집은이래야지밸런스좋은커피음료도진심인곳제대로된곳이라너무좋아요,1
39,마티스커피 본점,1,병에파는원액실망입니다병세척도제대로안하고그것도모르고먹은게화나네요웃으면서사기치는커피집같아서이젠안갑니다,0
40,마티스커피 본점,3,맛은좋으나서비스나친절은좀아쉽네요,1
42,마티스커피 본점,4,친절하며고풍있는분위기가기억에남네요아포가토와아인슈패너둘다다시마시고싶은메뉴였답니다,0
43,마티스커피 본점,1,원래이런리뷰귀찮아서잘안쓰는데이시국에마스크를안쓴여자종업원이있어요예전에도한번써달라고부탁했더니커피만들다가다른사람오니까들으라는듯이마스크쓴사람이만들어해가지고기분이언짢았던기억이있었는데그뒤로도안쓰고서빙해서코로나걸릴것같은기분이네요맛은기대를너무해서그런지,0
44,마티스커피 본점,3,예전에는좋았는데유명해지니까서비스너무별로네요,0
45,마티스커피 본점,3,점입니다,0
46,마티스커피 본점,4,더치커피랑수제티라미수넘넘맛있어요녹차는별로ㅎㅎ인테리어도마음에들어요ㅎㅎㅎ드립커피하나씩정복해볼예정입니닷,1
47,마티스커피 본점,5,커피너무너무맛있음,1
48,마티스커피 본점,1,서비스는기대하지마세요커피맛만기대,0
49,마티스커피 본점,5,다양하고전문적인커피를맛볼수있습니다,1
52,카페드빈티지 역삼3호점,3,사장님자부심이엄청난듯샤케라또시키니까뭔줄아냐며아니창시자이신줄맛자체는나쁘지않고조용해서재방문의사유,1
53,카페드빈티지 역삼3호점,5,더치아이리쉬찐꿀맛입니다,1
54,카페드빈티지 역삼3호점,5,이제배달도합니다맛있는커피집에서드세요,1
55,치킨잇수다,5,코엑스전시장마치고한잔굿,1
