name,score,review
명동칼국수샤브샤브 강남대로점,1,설거지좀 제대로 해주세요. 칼국수 그릇 겉에 국물  마른 자국이 항상 있네요
명동칼국수샤브샤브 강남대로점,4,맛있음. 구성좋고 가격도 합리적.  친절함. 
명동칼국수샤브샤브 강남대로점,5,"가성비 좋고, 죽이 맛있어요. 칼국수는 쏘쏘"
명동칼국수샤브샤브 강남대로점,5,깔끔존맛이에요
명동칼국수샤브샤브 강남대로점,3,
세븐브릭스키친,1,너무 불친절해서 다시는 가고 싶지 않아요.
세븐브릭스키친,1,일하기 싫고 피곤한 건 알겠는데 주문하는 사람 떡하니 앞에 두고 욕하는 건 아니죠; 아 제발 혼잣말이라도 손님이 앞에 있으면 속으로 욕 마음껏 하시길.
세븐브릭스키친,1,"매콤크림제육 토마토스파게티 시켰습니다 안경쓰고 머리조금짧으신분이 바로 ""아 제육씨#@"" 까지는 들었습니다.  선불이라서 돈은냈으니 먹고가겠습니다. "
세븐브릭스키친,4,포테이토피자 겁나 맛있떠요 ♡  크림리조또는 묽어서.. 개취는 별로
세븐브릭스키친,5,맛있는데다 가격도 저렴해요
세븐브릭스키친,1,너무 불친절해서 다시는 가고 싶지 않아요.
세븐브릭스키친,1,일하기 싫고 피곤한 건 알겠는데 주문하는 사람 떡하니 앞에 두고 욕하는 건 아니죠; 아 제발 혼잣말이라도 손님이 앞에 있으면 속으로 욕 마음껏 하시길.
세븐브릭스키친,1,"매콤크림제육 토마토스파게티 시켰습니다 안경쓰고 머리조금짧으신분이 바로 ""아 제육씨#@"" 까지는 들었습니다.  선불이라서 돈은냈으니 먹고가겠습니다. "
세븐브릭스키친,4,포테이토피자 겁나 맛있떠요 ♡  크림리조또는 묽어서.. 개취는 별로
세븐브릭스키친,5,맛있는데다 가격도 저렴해요
세븐브릭스키친,5,사장님이 너무친절하세요  트러플감튀  오지고지리고렛잇고
세븐브릭스키친,5,여윽시 언제 먹어도 맛나네요. 가격 대비 훌륭!
세븐브릭스키친,5,강남에서 이정도 가격에 이정도 맛 내는 곳 많지 않은데 회사 사람들이랑 가서 배부르고 맛있게 먹었어요! 분위기도 좋고 홀도 넓어서 회식으로 가기에도 좋을 거 같아요~ 담에 또 방문할거에요~~
세븐브릭스키친,2,많은 게 아쉬운 집...양은 많음
세븐브릭스키친,5,이가격에 존맛인데..... 저는 직원도 친절했어요 케바케인가;
세븐브릭스키친,2,위생. 직원. 음식 맛 실망. 
세븐브릭스키친,1,별 하나도 아까움. 맛 없어도 친절한 집가서 먹는다..
세븐브릭스키친,1,음식이 너무너무너무너무너무너무너무너무 느려요  점심시간에 셋이서 조리하는데  홀도 꽉찬것도 아닌데  30분 이상 걸림 조리시간  진짜 음식이 너무너무너무 느림
세븐브릭스키친,5,가성비 왔다이다  강남에서 이 가격에 이런분위기 이런맛  없을듯  최고 집이 멀지만 다시 또 오고싶다  맥주도 다양하고 싸고  대박이다
세븐브릭스키친,3,Bier Only
세븐브릭스키친,2,맥주 자체는 괜찮음. 문제는 직원들의 위생관임. 셀프바 앞에 있는 쓰레기통에 쓰레기가 꽉차서 그걸 누르는데 셀프바 위에 있는 손님들 음식 나가는 우드플레이트로 누르고는 그걸 쓰려고 다시 올려 놓더라. 아니 그 장면을 같이 있던 직원 2명이 수다떨면서 봤는데 아무도 뭐라하는 이가 없었음. 이 장면 직관하고는 앞으로는 음식은 여기서 먹지 말고 맥주만 마시던지 ...
세븐브릭스키친,1,직원들 싸가지없음. 옆 테이블도 싸가지없다고 욕하면서 나감ㅋㅋㅋ
세븐브릭스키친,4,
세븐브릭스키친,5,
세븐브릭스키친,3,마르게리따 피자 ☆☆☆ 알리오 올리오 ☆☆☆ 버섯치즈 파니니 ☆☆☆.5  적당한 맛. 피자는 양이 적고 파니니가 제일 맛있다!
골목집,5,"목살, 껍데기 일품"
치킨뱅이 삼성점,1,불친절해요~
마티스커피 본점,3,"분위기좋은 동네 커피숍이라 자주 갔지만, 중년의 여자주인분은 마스크를 잘 안씁니다..  들어오면서 눈마주치면 썼다가 다시 내리고 활보 그리고 작은 부엌에서 마스크없이 음식을 만들죠.. 추워서이겠지만 환기는 안되고, 아늑한 장소에 하나가득 앉은 사람들이 마스크벗고 수다떠는게 불안해서 요즘 안갑니다.  인테리어는 고풍스럽고, 커피잔은 유니크합니다."
마티스커피 본점,5,"커피집은 이래야지~~ 밸런스 좋은 커피, 음료도 진심인 곳 제대로 된곳이라 너무 좋아요"
마티스커피 본점,1,"병에 파는 원액 실망입니다. 병 세척도 제대로 안하고, 그것도 모르고 먹은게 화나네요. 웃으면서 사기치는 커피집 같아서 이젠 안갑니다."
마티스커피 본점,3,맛은 좋으나 서비스나 친절은 좀 아쉽네요
마티스커피 본점,5,
마티스커피 본점,3,"분위기좋은 동네 커피숍이라 자주 갔지만, 중년의 여자주인분은 마스크를 잘 안씁니다..  들어오면서 눈마주치면 썼다가 다시 내리고 활보 그리고 작은 부엌에서 마스크없이 음식을 만들죠.. 추워서이겠지만 환기는 안되고, 아늑한 장소에 하나가득 앉은 사람들이 마스크벗고 수다떠는게 불안해서 요즘 안갑니다.  인테리어는 고풍스럽고, 커피잔은 유니크합니다."
마티스커피 본점,5,"커피집은 이래야지~~ 밸런스 좋은 커피, 음료도 진심인 곳 제대로 된곳이라 너무 좋아요"
마티스커피 본점,1,"병에 파는 원액 실망입니다. 병 세척도 제대로 안하고, 그것도 모르고 먹은게 화나네요. 웃으면서 사기치는 커피집 같아서 이젠 안갑니다."
마티스커피 본점,3,맛은 좋으나 서비스나 친절은 좀 아쉽네요
마티스커피 본점,5,
마티스커피 본점,4,친절하며 고풍있는 분위기가 기억에 남네요   아포가토와 아인슈패너 둘다 다시 마시고 싶은 메뉴였답니다...!!
마티스커피 본점,1,원래 이런리뷰 귀찮아서 잘 안쓰는데..... 이 시국에 마스크를 안쓴 여자 종업원이 있어요.  예전에도 한 번 써달라고 부탁했더니 커피 만들다가 다른 사람 오니까 들으라는 듯이 마스크 쓴 사람이 만들어~~~  해가지고 기분이 언짢았던 기억이 있었는데.....  그 뒤로도 안쓰고 서빙해서 코로나 걸릴것 같은 기분이네요......  맛은 기대를 너무해서 그런지...
마티스커피 본점,3,예전에는 좋았는데 유명해지니까 서비스 너무 별로네요.  
마티스커피 본점,3,3.5점입니다
마티스커피 본점,4,더치커피랑 수제 티라미수 넘넘 맛있어요!!(녹차는별로..ㅎㅎ) 인테리어도 마음에 들어요ㅎㅎㅎ  드립커피 하나씩 정복해 볼 예정입니닷
마티스커피 본점,5,커피 너무너무 맛있음
마티스커피 본점,1,서비스는 기대하지마세요..... 커피맛만 기대
마티스커피 본점,5,다양하고 전문적인 커피를 맛볼수 있습니다
마티스커피 본점,4,
마티스커피 본점,5,
카페드빈티지 역삼3호점,3,사장님 자부심이 엄청 난 듯 샤케라또 시키니까 뭔 줄 아냐며 아니... 창시자이신줄... 맛 자체는 나쁘지 않고 조용해서  재방문 의사 유
카페드빈티지 역삼3호점,5,더치아이리쉬 찐 꿀맛입니다  
카페드빈티지 역삼3호점,5,이제 배달도 합니다!!!!  맛있는 커피 집에서 드세요~~
치킨잇수다,5,코엑스 전시장 마치고 한잔. 굿
홍반장 신의주찹쌀순대감자탕,3,
홍반장 신의주찹쌀순대감자탕,4,자리가 입식 좌식 섞여 있어 조금 불편하고  깔끔하지는 않으나 순대국 맛이 깊음
홍반장 신의주찹쌀순대감자탕,4,"보통, 얼큰 자주먹는데, 친절하시고 맛있습니다."
홍반장 신의주찹쌀순대감자탕,3,
도스타코스,5,가격은점 쎄지만 존맛탱♡ ♡  아 가게 자리도 협소한듯요
쏭스클럽 삼성점,1,
쏭스클럽 삼성점,4,
쏭스클럽 삼성점,5,쏭스핫도그랑 치즈핫도그.  갓 만든 따끈한 핫도그 정말 맛있다
예향,4,맛 (☆☆☆☆) 맛있고 반찬가지수가 많음 가격(☆☆) 비쌈ㅠ 서비스(☆☆☆)  점심 굴비정식 전체 룸이고 매우조용함!!
예향,1,글쎄다  쓰레기 마인드 식당중 한곳
예향,3,남도 한정식
예향,3,
예향,3,보리굴비는 괜찮은데 다른 음식들은 전반적으로 예전에 비해 맛이 많이 떨어진 듯.. 
돈우애락,5,너무 맛있어요!!! ㅠㅠ 고기 완전 최고로 잘 구워주시구 짱이에요
돈우애락,5,심하게 과소평가... 웨이팅 왜없지.. 초존맛
돈우애락,5,고기는 물론 김치찌개가 지려요
돈우애락,5,맛남
유경서원,1,최악...알바들을 연구원이라부르는데 잡다한일에비해 시급은 적고 꼰대같음
유경서원,5,아주 좋은 공간이었습니다.  열정적인 서진영 박사님의 강의도 좋았구요. 추천 드립니다.
매일낙지,1,낚지볶음이 저녁엔 25천원임   산낚지라고해서 그런가보다 했으나  염장된 낚지를  사용했는지 엄청짬 사장님께 컴플레인함 친절하길래  다시 해준다고 해서 기다림 낚지가 잘못들어갔다고함    다시나온것은  덜짜긴하지만  산낚지는 아닌것같음  그냥 점심에 파는 8000 원 짜리를 저녁엔 산낚지라고25천원이라고  파는것같음 항상 속이는것같음 조심하시길
매일낙지,3,"탕탕이, 볶음 잘 먹었어요."
매일낙지,5,손맛 좋고 인심 좋은 사장님이 오랫동안 운영하신곡  기운 없을때 일년에 두번정도 찾는데  항상 만족합니다
스구식탁 가로수길점,2,맛은 있지만 위생이 별로였네요 고기 써시는 분 컴퓨터 키보드 치시다가 다시 야채 담고 고기 썰고 하시는걸 봤네요 음식점은 위생이 제일 중요하다고 생각하는데 보기 좋지 않았습니다 음식은 맛있었지만 위생이 아쉬웠어요
스구식탁 가로수길점,5,신세인이랑 많이 감(10번은 간 듯) 엄청 맛있음. 단골 맛집임. 배부르게 먹을 수 있음. 가로수길 물가 대비 가성비.
스구식탁 가로수길점,4,소고기 야채 샤브샤브+사이드 택1(계란죽 선택) 시킴 일렬 테이블에 칸막이 되어 있어서 혼밥러들이 와서 식사하기에 아주 편했어요! 샤브샤브 고기와 각종 재료들 모두 신선하고 양도 적당했구 짱 맛있었어요! 계란죽은 국물 아예 없는 되직한 스타일이라 제 스타일은 아니어서 조금 아쉬웠던ㅎㅎ 그래도 후식 요구르트까지 거의 완벽했어요! 직원분도 아주 친절하셨어요~
스구식탁 가로수길점,5,
스구식탁 가로수길점,4,깔끔하게 혼밥 즐기기 좋음 위생관리도 굿! 맛도 좋고 직원분들 친절함
스구식탁 가로수길점,2,맛은 있지만 위생이 별로였네요 고기 써시는 분 컴퓨터 키보드 치시다가 다시 야채 담고 고기 썰고 하시는걸 봤네요 음식점은 위생이 제일 중요하다고 생각하는데 보기 좋지 않았습니다 음식은 맛있었지만 위생이 아쉬웠어요
스구식탁 가로수길점,5,신세인이랑 많이 감(10번은 간 듯) 엄청 맛있음. 단골 맛집임. 배부르게 먹을 수 있음. 가로수길 물가 대비 가성비.
스구식탁 가로수길점,4,소고기 야채 샤브샤브+사이드 택1(계란죽 선택) 시킴 일렬 테이블에 칸막이 되어 있어서 혼밥러들이 와서 식사하기에 아주 편했어요! 샤브샤브 고기와 각종 재료들 모두 신선하고 양도 적당했구 짱 맛있었어요! 계란죽은 국물 아예 없는 되직한 스타일이라 제 스타일은 아니어서 조금 아쉬웠던ㅎㅎ 그래도 후식 요구르트까지 거의 완벽했어요! 직원분도 아주 친절하셨어요~
스구식탁 가로수길점,5,
스구식탁 가로수길점,4,깔끔하게 혼밥 즐기기 좋음 위생관리도 굿! 맛도 좋고 직원분들 친절함
스구식탁 가로수길점,5,진짜 맛있어요..ㅠㅠㅠㅠㅠ 혼자 먹어야 하는게 장단점이 될 수 있겠지만 자꾸 생각나는 맛 완전 추천해요..
스구식탁 가로수길점,2,맛은 그럭저럭 직원분들 불친절함 오픈형 주방인데 대놓고 폰게임하고 추가 시키면 한숨 다들리게 크게 쉬고 가져다줌 
스구식탁 가로수길점,4,
스구식탁 가로수길점,5,깔끔하고 맛있고 친절해요 계란죽 꼭 추가해드시고 달달한 술 드시고 싶으면 빙탄복도 드세요 딱 하나 아랫분들 말대로 소스가 아쉬움... 
